"Elapsed_time","Temperature","Humidity","TGS2600","TGS2602","TGS2610"
"548","24.68","41.30","1946","1946","1544"
"657","24.69","41.30","1946","1946","1544"
"766","24.69","41.30","1946","1946","1544"
"875","24.70","41.29","1946","1946","1544"
"984","24.69","41.30","1946","1946","1544"
"1093","24.71","41.29","1946","1946","1544"
"1202","24.71","41.30","1946","1946","1544"
"1311","24.71","41.30","1946","1946","1544"
"1420","24.71","41.31","1946","1946","1544"
"1529","24.72","41.31","1946","1946","1544"
"1638","24.73","41.31","1946","1946","1544"
"1747","24.72","41.31","1946","1946","1544"
"1856","24.72","41.31","1946","1946","1544"
"1966","24.72","41.28","1946","1946","1544"
"2074","24.73","41.28","1946","1946","1544"
